Algorithm,Symmetric,Cached,Search Time,Recall
PQ,Asymmetric,Not Cached,0.37679219245910645,0.068
PQ,Asymmetric,Cached,0.1878795623779297,0.068
PQ,Symmetric,Cached,0.20252752304077148,0.024
brute,Asymmetric,Not Cached,0.12114429473876953,1.0
VQ,Asymmetric,Not Cached,0.01099395751953125,0.388
VQ,Symmetric,Cached,0.02066826820373535,0.148
PQ,Asymmetric,Not Cached,0.32285451889038086,0.12
PQ,Asymmetric,Cached,0.1598203182220459,0.12
PQ,Symmetric,Cached,0.1849222183227539,0.082
brute,Asymmetric,Not Cached,0.11768865585327148,1.0
VQ,Asymmetric,Not Cached,0.029925823211669922,0.97
VQ,Symmetric,Cached,0.014397144317626953,0.036
PQ,Asymmetric,Not Cached,0.48418259620666504,0.03
PQ,Asymmetric,Cached,0.26787710189819336,0.03
PQ,Symmetric,Cached,0.3574206829071045,0.03
brute,Asymmetric,Not Cached,0.12324357032775879,1.0
VQ,Asymmetric,Not Cached,0.10324692726135254,1.0
VQ,Symmetric,Cached,0.01194000244140625,0.0
PQ,Asymmetric,Not Cached,0.4406430721282959,0.056
PQ,Asymmetric,Cached,0.24528837203979492,0.056
PQ,Symmetric,Cached,0.3175215721130371,0.028
brute,Asymmetric,Not Cached,0.1212623119354248,1.0
VQ,Asymmetric,Not Cached,0.0235745906829834,0.822
VQ,Symmetric,Cached,0.018406391143798828,0.15
PQ,Asymmetric,Not Cached,0.7699666023254395,0.258
PQ,Asymmetric,Cached,0.41539955139160156,0.258
PQ,Symmetric,Cached,0.5213871002197266,0.13
brute,Asymmetric,Not Cached,0.09857034683227539,1.0
VQ,Asymmetric,Not Cached,0.022974491119384766,0.822
VQ,Symmetric,Cached,0.017644643783569336,0.194
PQ,Asymmetric,Not Cached,0.5170345306396484,0.288
PQ,Asymmetric,Cached,0.2577364444732666,0.288
PQ,Symmetric,Cached,0.3118469715118408,0.166
brute,Asymmetric,Not Cached,0.11893153190612793,1.0
VQ,Asymmetric,Not Cached,0.11783933639526367,1.0
VQ,Symmetric,Cached,0.011263847351074219,0.0
PQ,Asymmetric,Not Cached,0.6892094612121582,0.01
PQ,Asymmetric,Cached,0.4091987609863281,0.01
PQ,Symmetric,Cached,0.5117430686950684,0.006
brute,Asymmetric,Not Cached,0.10621857643127441,1.0
VQ,Asymmetric,Not Cached,0.012041807174682617,0.388
VQ,Symmetric,Cached,0.05388784408569336,0.124
PQ,Asymmetric,Not Cached,0.6772055625915527,0.312
PQ,Asymmetric,Cached,0.4018368721008301,0.312
PQ,Symmetric,Cached,0.4863266944885254,0.146
